"anio","tipoInstitucion","institucion","uacad","carrera","titulo","gestion","nivel","estVarones","estMujeres","niVarones","niMujeres","reinsVarones","reinsMujeres","egVarones","egMujeres"
2013,"Universidad                                       ","Universidad del Salvador","Facultad de Ciencias de la Administración","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",97,33,26,12,71,21,0,7
2013,"Universidad                                       ","Universidad del Salvador","Facultad de Ciencias de la Administración","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información - Ciclo de Licenciatura","Privada                                           ","Grado               ",16,2,0,0,16,2,5,2
2014,"Universidad                                       ","Universidad Adventista del Plata","Facultad de Ciencias Económicas y de la Administración","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",74,6,10,0,64,6,6,0
2014,"Universidad                                       ","Universidad Autónoma de Entre Ríos","Facultad de Ciencia y Tecnología","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Estatal                                           ","Grado               ",419,56,130,20,289,36,3,0
2014,"Universidad                                       ","Universidad Católica de Santa Fe","Facultad de Ciencias Económicas","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información - Ciclo de Licenciatura","Privada                                           ","Grado               ",81,12,19,3,62,9,8,1
2014,"Universidad                                       ","Universidad Champagnat","Facultad de Informática","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",103,35,10,11,93,24,2,0
2014,"Universidad                                       ","Universidad Gastón Dachary","Departamento de Ingeniería y Ciencias de la Producción","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",27,5,3,1,24,4,0,0
2014,"Universidad                                       ","Universidad Gastón Dachary","Departamento de Ingeniería y Ciencias de la Producción","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información - Ciclo de Licenciatura","Privada                                           ","Grado               ",4,3,2,1,2,2,0,0
2014,"Universidad                                       ","Universidad Gastón Dachary","Departamento de Ingeniería y Ciencias de la Producción Oberá","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Privada                                           ","Grado               ",1,0,0,0,1,0,0,0
2014,"Universidad                                       ","Universidad Nacional de Catamarca","Facultad de Tecnología y Ciencias Aplicadas","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Estatal                                           ","Grado               ",4,0,0,0,4,0,0,0
2014,"Universidad                                       ","Universidad Nacional de La Rioja","Sede Chamical","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Estatal                                           ","Grado               ",38,12,7,1,31,11,0,0
2014,"Universidad                                       ","Universidad Nacional de La Rioja","Sede La Rioja","Computación, Sistemas e Informática","Licenciatura en Sistemas de Información","Estatal                                           ","Grado               ",162,29,37,10,125,19,0,0
